Local time,Open,High,Low,Close,Volume
28.12.2003 17:00:00.000 GMT-0500,1.24258,1.25078,1.24221,1.24892,1119620195312.5
29.12.2003 17:00:00.000 GMT-0500,1.24900,1.25613,1.24758,1.25492,1120718802734.375
30.12.2003 17:00:00.000 GMT-0500,1.25495,1.26460,1.25132,1.25925,1101745501953.125
31.12.2003 17:00:00.000 GMT-0500,1.25931,1.26052,1.24698,1.25454,423555799560.547
01.01.2004 17:00:00.000 GMT-0500,1.25436,1.26282,1.25214,1.25832,1114731601562.5
02.01.2004 17:00:00.000 GMT-0500,1.25832,1.25832,1.25832,1.25832,0
03.01.2004 17:00:00.000 GMT-0500,1.25832,1.25832,1.25832,1.25832,0
04.01.2004 17:00:00.000 GMT-0500,1.25832,1.26935,1.25795,1.26753,1117097500000
05.01.2004 17:00:00.000 GMT-0500,1.26736,1.28093,1.26666,1.27256,1123617000000
06.01.2004 17:00:00.000 GMT-0500,1.27244,1.27417,1.26230,1.26322,1112493398437.5
07.01.2004 17:00:00.000 GMT-0500,1.26306,1.27796,1.25590,1.27661,1113789498046.875
08.01.2004 17:00:00.000 GMT-0500,1.27653,1.28676,1.27034,1.28149,1120310292968.75
09.01.2004 17:00:00.000 GMT-0500,1.28149,1.28149,1.28149,1.28149,0
10.01.2004 17:00:00.000 GMT-0500,1.28149,1.28149,1.28149,1.28149,0
11.01.2004 17:00:00.000 GMT-0500,1.28538,1.28971,1.27342,1.27493,1108321699218.75
12.01.2004 17:00:00.000 GMT-0500,1.27473,1.27957,1.27119,1.27714,1114197404296.875
13.01.2004 17:00:00.000 GMT-0500,1.27736,1.27878,1.26296,1.26473,1123340804687.5
14.01.2004 17:00:00.000 GMT-0500,1.26456,1.26707,1.25614,1.25766,1127465792968.75
15.01.2004 17:00:00.000 GMT-0500,1.25753,1.26091,1.23504,1.23962,1124796593750
16.01.2004 17:00:00.000 GMT-0500,1.23962,1.23962,1.23962,1.23962,0
17.01.2004 17:00:00.000 GMT-0500,1.23962,1.23962,1.23962,1.23962,0
18.01.2004 17:00:00.000 GMT-0500,1.23676,1.24230,1.23337,1.23478,1132318105468.75
19.01.2004 17:00:00.000 GMT-0500,1.23496,1.25952,1.23426,1.25787,1123536988281.25
20.01.2004 17:00:00.000 GMT-0500,1.25786,1.26710,1.25504,1.26425,1132347103515.625
21.01.2004 17:00:00.000 GMT-0500,1.26405,1.27485,1.26346,1.27183,1129054794921.875
22.01.2004 17:00:00.000 GMT-0500,1.27164,1.27742,1.25631,1.25797,1130601804687.5
23.01.2004 17:00:00.000 GMT-0500,1.25797,1.25797,1.25797,1.25797,0
24.01.2004 17:00:00.000 GMT-0500,1.25797,1.25797,1.25797,1.25797,0
25.01.2004 17:00:00.000 GMT-0500,1.25742,1.26107,1.24567,1.24575,1123888201171.875
26.01.2004 17:00:00.000 GMT-0500,1.24604,1.26517,1.24403,1.26430,1082479794921.875
27.01.2004 17:00:00.000 GMT-0500,1.26445,1.26618,1.24628,1.24681,1137246601562.5
28.01.2004 17:00:00.000 GMT-0500,1.24681,1.25265,1.23617,1.24072,1108579603515.625
29.01.2004 17:00:00.000 GMT-0500,1.24062,1.24911,1.23506,1.24747,1128529107421.875
30.01.2004 17:00:00.000 GMT-0500,1.24747,1.24747,1.24747,1.24747,0
31.01.2004 17:00:00.000 GMT-0500,1.24747,1.24747,1.24747,1.24747,0
01.02.2004 17:00:00.000 GMT-0500,1.24696,1.24858,1.23897,1.24237,1128944599609.375
02.02.2004 17:00:00.000 GMT-0500,1.24248,1.25973,1.24139,1.25407,1130994396484.375
03.02.2004 17:00:00.000 GMT-0500,1.25423,1.25609,1.24929,1.25327,1134170300781.25
04.02.2004 17:00:00.000 GMT-0500,1.25345,1.26364,1.25177,1.25460,1118230199218.75
05.02.2004 17:00:00.000 GMT-0500,1.25471,1.27243,1.25118,1.27026,1127776412109.375
06.02.2004 17:00:00.000 GMT-0500,1.27026,1.27026,1.27026,1.27026,0
07.02.2004 17:00:00.000 GMT-0500,1.27026,1.27026,1.27026,1.27026,0
08.02.2004 17:00:00.000 GMT-0500,1.26054,1.27599,1.25980,1.26955,1140175898437.5
09.02.2004 17:00:00.000 GMT-0500,1.26970,1.27863,1.26664,1.26689,1122476595703.125
10.02.2004 17:00:00.000 GMT-0500,1.26698,1.28374,1.26496,1.28321,1125278099609.375
11.02.2004 17:00:00.000 GMT-0500,1.28335,1.28445,1.27887,1.28084,1139512185546.875
12.02.2004 17:00:00.000 GMT-0500,1.28077,1.28918,1.27145,1.27315,1135078998046.875
13.02.2004 17:00:00.000 GMT-0500,1.27315,1.27315,1.27315,1.27315,0
14.02.2004 17:00:00.000 GMT-0500,1.27315,1.27315,1.27315,1.27315,0
15.02.2004 17:00:00.000 GMT-0500,1.27444,1.27890,1.27150,1.27697,1119951093750
